iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,2.3591,31.8349,1.6009,0.685,2.6672,4.4361,31.151,37755,-0.12835150957107544,0.599696934223175,3.884500026702881,2.753000020980835,1.0565999746322632,1.107699990272522,1.1684999465942383,12.14050006866455
1,7.3659,372.9217,2.4281,0.3862,16.0742,48.7322,70.6947,123437,0.05626464635133743,0.6232330799102783,28.636999130249023,7.482100009918213,1.1885000467300415,1.3746000528335571,1.5778000354766846,13.635499954223633
2,68.1963,387.3901,12.0155,0.6441,37.7464,66.9464,130.4266,281514,-0.19355995953083038,0.965955376625061,89.04199981689453,54.35390090942383,1.1837999820709229,1.4078999757766724,1.9282000064849854,13.54640007019043
3,89.8001,383.5537,54.1579,0.6827,92.127,115.4328,224.8515,554034,0.000191110375453718,1.380021095275879,333.2076110839844,136.7489013671875,1.0580999851226807,1.3286999464035034,1.9062999486923218,12.683799743652344
4,369.5508,374.4868,183.2331,0.8008,187.2324,128.9575,374.6279,1008083,-0.17453087866306305,1.4057552814483643,349.25518798828125,324.2077941894531,0.9883999824523926,1.236199975013733,1.4737000465393066,11.126999855041504
5,364.289,408.5527,327.6608,0.9131,285.5677,110.5818,452.6254,1556665,-0.22352123260498047,1.8737363815307617,375.6203918457031,362.53460693359375,0.7940000295639038,1.1176999807357788,1.6684000492095947,8.050999641418457
6,381.1208,403.2222,373.1942,6.6269,366.1241,42.1707,495.151,2156788,-0.5919868350028992,-2.294167995452881,390.3442077636719,385.8216857910156,0.7527999877929688,0.9879999756813049,1.483299970626831,6.260700225830078
7,399.0494,404.9762,391.743,80.7273,382.9048,36.2476,497.3729,2759604,0.2577391564846039,-3.517190456390381,398.49090576171875,397.58441162109375,0.5673999786376953,0.8277999758720398,1.1859999895095825,3.746500015258789
8,399.8177,404.8004,395.7653,120.1001,388.8242,39.2215,497.7434,3362869,0.600551426410675,-4.256795883178711,401.68170166015625,400.4220886230469,0.3862999975681305,0.6488000154495239,0.9628000259399414,0.6603999733924866
9,405.9807,410.1432,404.2702,392.1634,403.9301,2.7457,500.0,3968869,0.6706416010856628,-4.691622734069824,406.8028869628906,406.24578857421875,0.3652999997138977,0.5922999978065491,0.8585000038146973,-1.7927000522613525
10,409.0081,411.4874,408.0335,402.0198,407.9386,1.858,500.0,4574869,0.644314169883728,-4.510868549346924,410.0011901855469,409.3440856933594,0.3337000012397766,0.5066999793052673,0.7188000082969666,-4.947500228881836
11,411.6793,414.1342,411.5,409.9089,411.476,0.7127,500.0,5180869,0.6330385804176331,-4.516268253326416,412.35101318359375,412.1289978027344,0.2944999933242798,0.45399999618530273,0.6371999979019165,-6.964799880981445
12,411.7603,412.8706,411.5717,404.4355,411.5039,0.8198,500.0,5786869,0.5407662391662598,-4.53395938873291,412.0328063964844,411.8861999511719,0.2824000120162964,0.3763999938964844,0.4821999967098236,-8.993200302124023
13,412.9846,413.4236,412.9306,412.3442,412.9174,0.2106,500.0,6392869,0.35196468234062195,-4.74537467956543,413.1922912597656,413.1011962890625,0.2337999939918518,0.3140999972820282,0.42500001192092896,-10.77929973602295
14,411.7301,412.0991,411.6104,411.0332,411.5959,0.1845,500.0,6998869,0.2536340057849884,-4.931934356689453,411.7865905761719,411.74560546875,0.19059999287128448,0.2671000063419342,0.3896999955177307,-13.121899604797363
15,411.4406,411.7408,411.3858,411.0958,411.3898,0.1274,500.0,7604869,0.28423887491226196,-4.843579292297363,411.55999755859375,411.506103515625,0.14350000023841858,0.226500004529953,0.3102000057697296,-15.70199966430664
16,409.0364,409.1663,409.0076,408.8652,409.0175,0.0581,500.0,8210869,0.3010980188846588,-4.767622947692871,409.0968017578125,409.0647888183594,0.1273999959230423,0.20810000598430634,0.2921999990940094,-17.66659927368164
17,405.6464,405.7384,405.6462,405.4614,405.6393,0.0481,500.0,8816869,0.347224622964859,-4.626533508300781,405.6957092285156,405.684814453125,0.07270000129938126,0.11469999700784683,0.15029999613761902,-19.79290008544922
18,412.0013,412.0737,412.0013,411.8984,411.9958,0.0364,500.0,9422869,0.46085089445114136,-4.342475414276123,412.03240966796875,412.0252990722656,0.0658000037074089,0.10239999741315842,0.1396999955177307,-20.575700759887695
19,410.6414,410.6812,410.634,410.591,410.633,0.0173,500.0,10028869,0.32470133900642395,-4.47428035736084,410.6534118652344,410.64898681640625,0.06109999865293503,0.0989999994635582,0.1324000060558319,-22.092100143432617
